State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Vegetables,Tomato,15-04-2021,397.0,Metric Tonnes,925.57,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,16-04-2021,1693.0,Metric Tonnes,868.9,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,16-04-2021,296.0,Metric Tonnes,725.68,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,17-04-2021,53.0,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,18-04-2021,884.0,Metric Tonnes,1035.75,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,18-04-2021,66.0,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,19-04-2021,1378.0,Metric Tonnes,836.01,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,19-04-2021,371.0,Metric Tonnes,823.45,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,20-04-2021,1927.0,Metric Tonnes,820.29,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,20-04-2021,160.0,Metric Tonnes,590.63,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,21-04-2021,799.0,Metric Tonnes,786.3,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,21-04-2021,171.0,Metric Tonnes,869.3,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,22-04-2021,1678.0,Metric Tonnes,939.9,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,22-04-2021,250.0,Metric Tonnes,846.6,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,23-04-2021,1406.0,Metric Tonnes,730.39,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,23-04-2021,242.0,Metric Tonnes,816.32,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,24-04-2021,216.0,Metric Tonnes,800.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,25-04-2021,482.0,Metric Tonnes,1093.15,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,25-04-2021,65.0,Metric Tonnes,1500.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,26-04-2021,881.0,Metric Tonnes,833.94,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,26-04-2021,232.0,Metric Tonnes,817.24,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,27-04-2021,1374.0,Metric Tonnes,734.65,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,27-04-2021,280.0,Metric Tonnes,875.71,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,28-04-2021,722.0,Metric Tonnes,848.13,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,28-04-2021,291.0,Metric Tonnes,882.47,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,29-04-2021,1004.0,Metric Tonnes,832.92,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,29-04-2021,258.0,Metric Tonnes,1005.04,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,30-04-2021,1281.0,Metric Tonnes,832.55,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,30-04-2021,249.0,Metric Tonnes,1025.9,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,01-05-2021,63.0,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,02-05-2021,1088.0,Metric Tonnes,782.19,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,02-05-2021,98.0,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,03-05-2021,1156.0,Metric Tonnes,899.44,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,03-05-2021,335.0,Metric Tonnes,879.25,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,04-05-2021,2163.0,Metric Tonnes,905.33,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,04-05-2021,330.0,Metric Tonnes,895.76,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,05-05-2021,1309.0,Metric Tonnes,930.44,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,05-05-2021,328.0,Metric Tonnes,835.06,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,06-05-2021,2479.0,Metric Tonnes,965.66,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,06-05-2021,335.0,Metric Tonnes,827.91,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,07-05-2021,2200.0,Metric Tonnes,803.04,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,07-05-2021,241.0,Metric Tonnes,824.48,Rs./Quintal
